NGO_name,CCReg,Contact_no,Contact,Address,longitude,latitude
"""DIVYA RASA"" (Centre for Healing, Learning,
Research and Communication)",9995,"9176300657 , 9629427411 ",Pekka Kontiainen ,"Su Kilnachipattu,Mathur, near Arunai Engineering college, Tiruvannamalai, Tamil Nadu 606603",79.08383,12.19307
"""Sankalp"" Manav Vikas Sanstha",10479,9096696633 ,Raju Sathe ,"Sudhakar Kshirsagar, Gautam Nagar Pathari Parbhani, Maharashtra 431506",76.42406,19.24029
"""VISHA"" VOCATIONAL INSTITUTES SOCIAL,HEALTH
AND AGRICULTURE",9807,"9438022310 , 7327914477 ",prakash ch.harijan ,"Goutam Nagar Last Lane, koraput, Odisha 764020",82.70526,18.8052
"`SEVAK' Society for Empowerment through
Voluntary Action in Karnataka",4961,9448193220 ,LATHAPUSHPA N. M. ,"Nityadhar Building, Tipu Sultan Building, MACHHE, BELGAUM, Belgaum, Karnataka 590014",74.47437,15.78688
1M1B FOUNDATION,12062,7053733974 ,Saffin Mathew ,"80 Feet Rd Koramangala, Bengaluru, Karnataka 560034",77.6323,12.93193
A Little Contribution Welfare Society,12859,9038337855 ,,"Tanupukur Road Dhakuria, Kolkata, West Bengal 700031",88.37282,22.51057
aaina,742,2360630 ,Smriti Mohanty ,"Hotel Mayfair, Jayadev Vihar, Bhubaneswar, Khordha,Odisha 751013",85.82376,20.29857
"AAO SAI SEWA SAMITI, FARIDABAD",9386,"9868370820 , 9811838748 ",Rajkumar Sharma ,"Shiv Durga Vihar, Dayal Bagh, Suraj Kund, Faridabad Haryana 121009",77.28258,28.47979
Aarohan,1214,"41007526 , 49065447 ",Abdul Azeem ,"Malviya Nagar, South Delhi New Delhi 110017",77.2087,28.5343
AASHISH FOUNDATION,5426,"67439941 , 9870183414 ",Mrs Shalini C Bijliwala ,"Unique Industrial, Near Shiddhivinayak Temple, Prabhadevi, Mumbai, Maharashtra 400025",72.82837,19.01763
