eventId,eventName,centre,area,volReq,natureOpr,minTermOpr,startDate,endDate,causesArea,whrWillOprBe,daysOfVol,hrsPerSession,lastUpdated,onsiteCity,aId,aLink,ngoName,oprCategory,latitude,longitude,precision
54684,Teaching Volunteer in Delhi,Delhi,,7,,,10-12-2022,31-07-2030,['Education & Literacy'],Onsite,Weekends,2,2026-08-25 11:23:46.0,Delhi,1574949207984,d601389e-da20-482d-8d3c-5eee07c7b113,Aashray Foundation,Teacher,28.66752435193491,77.2063695462668,City-Level Fallback (city)
54685,Teaching Volunteer in Mumbai,Mumbai,,10,,,10-12-2022,31-07-2030,['Education & Literacy'],Onsite,Weekends,2,2026-08-25 11:25:41.0,Bandra Mumbai,1574949208144,28758b4e-d1d6-4eea-9456-b6617de164c2,Aashray Foundation,Teacher,19.04979602668223,72.86705554657318,City-Level Fallback (building)
54687,Teaching Volunteer in Chandigarh,Chandigarh,,5,,,10-12-2022,31-07-2030,['Education & Literacy'],Onsite,Weekends,2,2026-07-09 11:33:07.0,Pkl Mohali Chandigarh,1574949208715,fd0b31e5-265c-443c-b5f2-4869582b74b5,Aashray Foundation,Teacher,30.74085699218534,76.77753525426832,City-Level Fallback (city)
54973,Storytelling Volunteer Pune,Pune,,15,,,13-03-2023,31-07-2030,['Children'],Onsite,Weekends,2,2026-06-11 13:11:54.0,Pune,1574949421277,91de2480-6b71-4678-a348-154e58f91bc4,Bookwallah Organization,Communication,18.5302559471664,73.84832192150893,City-Level Fallback (city)
55044,Graphic Design Volunteer,Delhi,,2,,,28-03-2023,30-09-2026,['Youth Development'],Onsite,Either,2,2026-06-15 16:49:37.0,New Delhi ,1574949472931,b1175015-4ab7-409b-a6b2-ed1b45588808,Etasha Society,Brochure/Poster/Social Media Design,28.60278402109211,77.20145184827582,City-Level Fallback (city)
54998,Graphic Designer Volunteer,Mumbai,,2,,,01-04-2023,31-07-2030,['Children'],Hybrid,Either,2,2026-08-21 11:35:49.0,Mumbai,1574949434484,8a5ba96e-70b9-4476-9cd0-d20e0d08b401,Bookwallah Organization,Brochure/Poster/Social Media Design,19.060390437415286,72.86564798118313,City-Level Fallback (city)
54984,Photography Volunteer Pune,Pune,,2,,,01-04-2023,31-07-2030,['Children'],Onsite,Weekends,2,2026-06-11 13:14:03.0,Pune,1574949424292,db801280-4202-44ed-a3af-204bd60befa7,Bookwallah Organization,Photography,18.50843659080219,73.84494651475889,City-Level Fallback (city)
55061,Fundraising Strategy Volunteer,Pune,,2,,,03-04-2023,31-03-2027,['Youth Development'],Hybrid,Weekdays,5,2026-08-28 18:02:18.0,Pune,1574949493323,a868ea4e-bb79-45fc-b0a7-690f19c27979,Navsanjeevan Social Trust,Fundraising Strategy,18.51058477967696,73.85821966046902,City-Level Fallback (city)
55064,Graphic Designing Intern,Mumbai,,10,,,05-04-2023,31-12-2026,['Education & Literacy'],Onsite,Weekdays,4,2026-06-29 12:41:40.0,Mumbai,1574949495000,4c191040-52e8-4c97-8e4a-02f135b2a696,Bhavyata Foundation,Brochure/Poster/Social Media Design,19.05697518309949,72.88070559498946,City-Level Fallback (city)
55059,Teaching Volunteer,Patna,,3,,,05-04-2023,05-10-2030,['Education & Literacy'],Onsite,Weekdays,2,2025-03-28 10:17:35.0,Patna,1574949491618,4811ed25-db36-436e-bf76-a8b5fbd0d7c5,ABUNDANT LIFE FOUNDATION,Teacher,25.607613712102165,85.11765544665018,City-Level Fallback (city)
54967,Photographer Volunteer Mumbai,Mumbai,,4,,,01-05-2023,31-07-2030,['Children'],Onsite,Either,2,2026-06-11 13:12:42.0,Mumbai,1574949416306,ba208198-0851-44ec-87ae-a4da78306191,Bookwallah Organization,Photography,19.067575264727026,72.85910989375658,City-Level Fallback (city)
